T,ρ,u,h,s,cv,cp,w
K,kg/m3,kJ/kg,kJ/kg,kJ/(kg K),kJ/(kg K),kJ/(kg K),m/s
P=0.05MPa,,,,,,,
273.156,999.81700,-0.016,0.034,-0.0001,4.2172,4.2197,1402.30
275.000,999.91200,7.760,7.810,0.0283,4.2130,4.2137,1411.40
280.000,999.88600,28.795,28.845,0.1041,4.2000,4.2011,1434.20
285.000,999.49300,49.778,49.828,0.1784,4.1850,4.1926,1454.40
290.000,998.78000,70.725,70.775,0.2513,4.1682,4.1868,1472.20
295.000,997.78400,91.649,91.699,0.3228,4.1499,4.1830,1487.80
300.000,996.53400,112.557,112.608,0.3931,4.1303,4.1808,1501.40
305.000,995.05300,133.458,133.508,0.4622,4.1096,4.1797,1513.20
310.000,993.36100,154.355,154.406,0.5301,4.0878,4.1794,1523.30
315.000,991.47400,175.253,175.303,0.5970,4.0650,4.1797,1531.80
320.000,989.40400,196.153,196.204,0.6628,4.0415,4.1807,1538.80
325.000,987.16500,217.060,217.110,0.7277,4.0173,4.1820,1544.40
330.000,984.76400,237.974,238.025,0.7915,3.9925,4.1838,1548.80
335.000,982.21200,258.898,258.949,0.8545,3.9672,4.1859,1551.90
340.000,979.51300,279.833,279.884,0.9165,3.9415,4.1884,1553.90
345.000,976.67600,300.782,300.833,0.9777,3.9156,4.1913,1554.90
350.000,973.70600,321.747,321.798,1.0380,3.8895,4.1946,1554.80
354.467,970.94200,340.490,340.542,1.0912,3.8660,4.1979,1554.00
354.467,0.30864,2483.210,2645.220,7.5930,1.5136,2.0157,462.14
355.000,0.30815,2484.030,2646.290,7.5960,1.5121,2.0138,462.52
360.000,0.30366,2491.660,2656.320,7.6241,1.5012,1.9987,466.05
365.000,0.29931,2499.230,2666.280,7.6516,1.4935,1.9875,469.48
370.000,0.29510,2506.760,2676.200,7.6786,1.4877,1.9788,472.84
375.000,0.29101,2514.260,2686.070,7.7051,1.4833,1.9719,476.14
380.000,0.28705,2521.730,2695.920,7.7311,1.4799,1.9662,479.40
385.000,0.28320,2529.190,2705.740,7.7568,1.4772,1.9616,482.61
390.000,0.27947,2536.620,2715.540,7.7821,1.4753,1.9579,485.79
395.000,0.27583,2544.050,2725.320,7.8070,1.4738,1.9549,488.93
400.000,0.27229,2551.460,2735.090,7.8316,1.4729,1.9525,492.04
410.000,0.26550,2566.270,2754.590,7.8798,1.4722,1.9494,498.16
420.000,0.25905,2581.070,2774.080,7.9267,1.4728,1.9479,504.17
430.000,0.25292,2595.870,2793.560,7.9726,1.4743,1.9479,510.07
440.000,0.24708,2610.680,2813.040,8.0173,1.4767,1.9488,515.88
450.000,0.24151,2625.510,2832.540,8.0612,1.4797,1.9507,521.59
